timestamp,temperature,pressure
2025-01-01T00:00:00,21.8,998.85
2025-01-01T00:01:00,23.72,1016.52
2025-01-01T00:02:00,27.16,1017.34
2025-01-01T00:03:00,26.96,1010.79
2025-01-01T00:04:00,25.5,1011.77
2025-01-01T00:05:00,26.55,1015.76
2025-01-01T00:06:00,25.4,1009.06
2025-01-01T00:07:00,24.12,1005.91
2025-01-01T00:08:00,20.83,1012.53
2025-01-01T00:09:00,27.93,1015.08
2025-01-01T00:10:00,26.02,1014.45
2025-01-01T00:11:00,25.44,1010.38
2025-01-01T00:12:00,25.25,1015.1
2025-01-01T00:13:00,23.39,1021.39
2025-01-01T00:14:00,22.54,1008.21
2025-01-01T00:15:00,22.68,1014.25
2025-01-01T00:16:00,24.27,1007.42
2025-01-01T00:17:00,24.06,1002.94
2025-01-01T00:18:00,24.26,1015.74
2025-01-01T00:19:00,27.85,998.78
2025-01-01T00:20:00,28.83,1016.86
2025-01-01T00:21:00,26.2,1008.48
2025-01-01T00:22:00,24.43,1012.85
2025-01-01T00:23:00,27.49,1012.82
2025-01-01T00:24:00,25.72,1016.54
2025-01-01T00:25:00,21.07,1006.55
2025-01-01T00:26:00,25.53,1008.47
2025-01-01T00:27:00,27.62,1014.19
2025-01-01T00:28:00,23.4,1017.88
2025-01-01T00:29:00,21.5,1005.81
2025-01-01T00:30:00,23.69,1012.22
2025-01-01T00:31:00,30.39,1005.72
2025-01-01T00:32:00,27.14,1014.24
2025-01-01T00:33:00,26.58,1006.24
2025-01-01T00:34:00,29.29,1014.8
2025-01-01T00:35:00,23.56,1012.35
2025-01-01T00:36:00,23.43,1012.39
2025-01-01T00:37:00,21.89,1017.95
2025-01-01T00:38:00,23.03,1013.34
2025-01-01T00:39:00,23.69,1018.26
2025-01-01T00:40:00,24.3,1017.04
2025-01-01T00:41:00,24.55,1014.13
2025-01-01T00:42:00,25.14,1016.07
2025-01-01T00:43:00,24.68,1016.15
2025-01-01T00:44:00,27.05,1015.43
2025-01-01T00:45:00,24.82,1006.4
2025-01-01T00:46:00,23.58,1015.59
2025-01-01T00:47:00,25.33,1018.3
2025-01-01T00:48:00,26.51,1012.45
2025-01-01T00:49:00,26.14,1008.01
2025-01-01T00:50:00,45.12,1009.32
2025-01-01T00:51:00,24.05,1009.78
2025-01-01T00:52:00,30.5,1007.91
2025-01-01T00:53:00,22.67,1009.42
2025-01-01T00:54:00,22.0,1003.48
2025-01-01T00:55:00,25.43,1008.12
2025-01-01T00:56:00,25.46,1013.56
2025-01-01T00:57:00,25.19,1020.36
2025-01-01T00:58:00,27.87,1007.45
2025-01-01T00:59:00,22.59,1021.13
2025-01-01T01:00:00,23.15,1005.78
